id,content,test_prompt
4006,"output.id: f8c1fe2b-3fc0-434e-8c3b-22a4427a39b2 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Export-Import-of-Odoo-CRM-leads.aspx, who created it: ""displayName"":""Iraia Torres Rodriguez"",""email"":""iraia.torresrodriguez@dtsc.be"" and when it was created: ""createdDateTime"":""2025-02-28T13:58:34Z"" and last time it was modified: ""lastModifiedDateTime"":""2025-02-28T14:39:31Z"" | output.content: Show a banner with title and author information Title: Export/Import of Odoo CRM leads. This page covers how to export and import leads from Odoo CRM. Detailed explanations can be found in the CRMtools_Documentation_2025.odt document. 1. Connecting to the Odoo CRM. For the installation of the project, follow the instructions found on GitHub. Once the installation is complete, the next step is to fill out the .env file with the following configurations and the corresponding Odoo credentials (username & password). The user can check if the configurations are properly set with the code shown below. This script verifies the connection by printing the credentials and imports the necessary functions for exporting and importing the CRM leads. 2. Exporting leads to a CSV file. There are a few steps to follow to retrieve and save the leads from Odoo. Step 1: Choose the information (fields) to extract from Odoo CRM. Step 2: Choose the page (CRM in our case). Contacts page: 'res.partner'. CRM page: 'crm.lead'. Step 3: Choose a name for the file. Example: 'opportunities.csv'. The following image shows the structure of the code and the output with the CRM leads. 3. Importing leads from a CSV file. To import data, the user only needs to write the path location of the corresponding CSV file with the leads to import. The fields (columns) are already set up within the function; however, additional fields can be added. A complete list of the fields available can be accessed through the “fields_available” variable.",How can I export leads from Odoo?
4006.1,"output.id: f8c1fe2b-3fc0-434e-8c3b-22a4427a39b2 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Export-Import-of-Odoo-CRM-leads.aspx, who created it: ""displayName"":""Iraia Torres Rodriguez"",""email"":""iraia.torresrodriguez@dtsc.be"" and when it was created: ""createdDateTime"":""2024-08-15T11:23:47Z"" and last time it was modified: ""lastModifiedDateTime"":""2024-08-15T12:04:32Z"" | output.content: Show a banner with title and author information Title: Export/Import of Odoo CRM leads. This page covers how to export and import leads from Odoo CRM. Detailed explanations can be found in the CRMtools_Documentation_2025.odt document. 1. Connecting to the Odoo CRM. For the installation of the project, follow the instructions found on GitHub. Once the installation is complete, the next step is to fill out the .env file with the following configurations and the corresponding Odoo credentials (username & password). The user can check if the configurations are properly set with the code shown below. This script verifies the connection by printing the credentials and imports the necessary functions for exporting and importing the CRM leads. 2. Exporting leads to a CSV file. There are a few steps to follow to retrieve and save the leads from Odoo. Step 1: Choose the information (fields) to extract from Odoo CRM. Step 2: Choose the page (CRM in our case). Contacts page: 'res.partner'. CRM page: 'crm.lead'. Step 3: Choose a name for the file. Example: 'opportunities.csv'. The following image shows the structure of the code and the output with the CRM leads. 3. Importing leads from a CSV file. To import data, the user only needs to write the path location of the corresponding CSV file with the leads to import. The fields (columns) are already set up within the function; however, additional fields can be added. A complete list of the fields available can be accessed through the ""fields_available"" variable.",
4006.2,"output.id: f8c1fe2b-3fc0-434e-8c3b-22a4427a39b2 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Export-Import-of-Odoo-CRM-leads.aspx, who created it: ""displayName"":""Iraia Torres Rodriguez"",""email"":""iraia.torresrodriguez@dtsc.be"" and when it was created: ""createdDateTime"":""2023-03-22T09:45:32Z"" and last time it was modified: ""lastModifiedDateTime"":""2023-03-22T10:26:14Z"" | output.content: Show a banner with title and author information Title: Export/Import of Odoo CRM leads. This page covers how to export and import leads from Odoo CRM. Detailed explanations can be found in the CRMtools_Documentation_2025.odt document. 1. Connecting to the Odoo CRM. For the installation of the project, follow the instructions found on GitHub. Once the installation is complete, the next step is to fill out the .env file with the following configurations and the corresponding Odoo credentials (username & password). The user can check if the configurations are properly set with the code shown below. This script verifies the connection by printing the credentials and imports the necessary functions for exporting and importing the CRM leads. 2. Exporting leads to a CSV file. There are a few steps to follow to retrieve and save the leads from Odoo. Step 1: Choose the information (fields) to extract from Odoo CRM. Step 2: Choose the page (CRM in our case). Contacts page: 'res.partner'. CRM page: 'crm.lead'. Step 3: Choose a name for the file. Example: 'opportunities.csv'. The following image shows the structure of the code and the output with the CRM leads. 3. Importing leads from a CSV file. To import data, the user only needs to write the path location of the corresponding CSV file with the leads to import. The fields (columns) are already set up within the function; however, additional fields can be added. A complete list of the fields available can be accessed through the ""fields_available"" variable.",
4006.3,"output.id: f8c1fe2b-3fc0-434e-8c3b-22a4427a39b2 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Export-Import-of-Odoo-CRM-leads.aspx, who created it: ""displayName"":""Iraia Torres Rodriguez"",""email"":""iraia.torresrodriguez@dtsc.be"" and when it was created: ""createdDateTime"":""2022-09-05T14:17:24Z"" and last time it was modified: ""lastModifiedDateTime"":""2022-09-05T14:58:36Z"" | output.content: Show a banner with title and author information Title: Export/Import of Odoo CRM leads. This page covers how to export and import leads from Odoo CRM. Detailed explanations can be found in the CRMtools_Documentation_2025.odt document. 1. Connecting to the Odoo CRM. For the installation of the project, follow the instructions found on GitHub. Once the installation is complete, the next step is to fill out the .env file with the following configurations and the corresponding Odoo credentials (username & password). The user can check if the configurations are properly set with the code shown below. This script verifies the connection by printing the credentials and imports the necessary functions for exporting and importing the CRM leads. 2. Exporting leads to a CSV file. There are a few steps to follow to retrieve and save the leads from Odoo. Step 1: Choose the information (fields) to extract from Odoo CRM. Step 2: Choose the page (CRM in our case). Contacts page: 'res.partner'. CRM page: 'crm.lead'. Step 3: Choose a name for the file. Example: 'opportunities.csv'. The following image shows the structure of the code and the output with the CRM leads. 3. Importing leads from a CSV file. To import data, the user only needs to write the path location of the corresponding CSV file with the leads to import. The fields (columns) are already set up within the function; however, additional fields can be added. A complete list of the fields available can be accessed through the ""fields_available"" variable.",
4007,"output.id: 1541555c-399c-4781-8deb-bc8711d1f7de | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Files-structure.aspx, who created it: ""displayName"":""Philomène Scohy"",""email"":""philomene.scohy@dtsc.be"" and when it was created: ""createdDateTime"":""2024-11-13T16:30:27Z"" and last time it was modified: ""lastModifiedDateTime"":""2024-11-13T16:35:19Z"" | output.content: !!! For the moment in the drive, the new structure is in the NEW folder. Work in progress, there are still some documents that did not move yet and need some cleaning!!!

The actual structure for oneDrive and that will be applicated to Sharepoint is the following. Do not add unnecessary folders, ask yourself first where it could go in the actual structure.

- HR
	- Onboarding
	- Recrutement
	- Plan cafeteria
	- …
- Marketing
- BB Projects
- Themes
	- Formation
		- Lean six sigma
			- Certifications
			- Projects
			- Contracts
	- Agile
	- AI
	- Railway
	- data
- Events
	- Internal / team buildings
		- Photoshoots
		- Sketchnoting
	- Conference / Trainings
	- …
- Fleet
- Sales
	- Odoo
	- ...
- Finance
	- Invoices",What is the file structure for OneDrive?
4007.1,"4007.1	""output.id: 1541555c-399c-4781-8deb-bc8711d1f7de | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Files-structure.aspx, who created it: ""displayName"":""Philomène Scohy"",""email"":""philomene.scohy@dtsc.be"" and when it was created: ""createdDateTime"":""2023-08-20T09:15:42Z"" and last time it was modified: ""lastModifiedDateTime"":""2023-08-20T09:22:13Z"" | output.content: !!! For the moment in the drive, the new structure is in the NEW folder. Work in progress, there are still some documents that did not move yet and need some cleaning!!!

The actual structure for oneDrive and that will be applicated to Sharepoint is the following. Do not add unnecessary folders, ask yourself first where it could go in the actual structure.

- HR
	- Onboarding
	- Recrutement
	- Plan cafeteria
	- …
- Marketing
- BB Projects
- Themes
	- Formation
		- Lean six sigma
			- Certifications
			- Projects
			- Contracts
	- Agile
	- AI
	- Railway
	- data
- Events
	- Internal / team buildings
		- Photoshoots
		- Sketchnoting
	- Conference / Trainings
	- …
- Fleet
- Sales
	- Odoo
	- ...
- Finance
	- Invoices""",
4007.2,"4007.2	""output.id: 1541555c-399c-4781-8deb-bc8711d1f7de | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Files-structure.aspx, who created it: ""displayName"":""Philomène Scohy"",""email"":""philomene.scohy@dtsc.be"" and when it was created: ""createdDateTime"":""2021-05-02T14:45:33Z"" and last time it was modified: ""lastModifiedDateTime"":""2021-05-02T15:02:18Z"" | output.content: !!! For the moment in the drive, the new structure is in the NEW folder. Work in progress, there are still some documents that did not move yet and need some cleaning!!!

The actual structure for oneDrive and that will be applicated to Sharepoint is the following. Do not add unnecessary folders, ask yourself first where it could go in the actual structure.

- HR
	- Onboarding
	- Recrutement
	- Plan cafeteria
	- …
- Marketing
- BB Projects
- Themes
	- Formation
		- Lean six sigma
			- Certifications
			- Projects
			- Contracts
	- Agile
	- AI
	- Railway
	- data
- Events
	- Internal / team buildings
		- Photoshoots
		- Sketchnoting
	- Conference / Trainings
	- …
- Fleet
- Sales
	- Odoo
	- ...
- Finance
	- Invoices""",
4007.3,"4007.3	""output.id: 1541555c-399c-4781-8deb-bc8711d1f7de | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Files-structure.aspx, who created it: ""displayName"":""Philomène Scohy"",""email"":""philomene.scohy@dtsc.be"" and when it was created: ""createdDateTime"":""2022-12-05T11:30:16Z"" and last time it was modified: ""lastModifiedDateTime"":""2022-12-05T11:51:42Z"" | output.content: !!! For the moment in the drive, the new structure is in the NEW folder. Work in progress, there are still some documents that did not move yet and need some cleaning!!!

The actual structure for oneDrive and that will be applicated to Sharepoint is the following. Do not add unnecessary folders, ask yourself first where it could go in the actual structure.

- HR
	- Onboarding
	- Recrutement
	- Plan cafeteria
	- …
- Marketing
- BB Projects
- Themes
	- Formation
		- Lean six sigma
			- Certifications
			- Projects
			- Contracts
	- Agile
	- AI
	- Railway
	- data
- Events
	- Internal / team buildings
		- Photoshoots
		- Sketchnoting
	- Conference / Trainings
	- …
- Fleet
- Sales
	- Odoo
	- ...
- Finance
	- Invoices""",
4008,"output.id: 73695d86-4a97-45c2-916a-3c7db998b439 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Fine-management.aspx, who created it: ""displayName"":""Thibault Draye"",""email"":""tdraye@dtsc.be"" and when it was created: ""createdDateTime"":""2025-02-10T09:16:14Z"" and last time it was modified: ""lastModifiedDateTime"":""2025-02-10T09:23:10Z"" | output.content: 🚗 Traffic Fine Management at DTSC

📜 Fleet Policy – Traffic Fines
At DTSC, traffic fines are handled through a clear process to ensure efficient follow-up and prevent any administrative consequences for both the company and the employees involved.

🔹 Procedure in Case of a Fine
1. Fine Notification
   - When a traffic violation is recorded on a DTSC fleet vehicle, the fine is sent to the company.
2. Transfer to the Responsible Driver
   - As per the Fleet Policy, the fine is transferred to the driver, who is responsible for either payment or contesting it.
3. Reminder and Temporary Coverage by DTSC
   - If a reminder is received, DTSC pays the fine to avoid any judicial record issues for the company.
   - The amount advanced is then deducted from the employee's payslip.
4. Reimbursement in Case of a Successful Appeal
   - If the employee successfully contests the fine, the deducted amount is fully reimbursed.

ℹ️ Example of Handling a Fine
Example: A reminder was received for a traffic violation. The fine was transferred to the responsible driver for action. DTSC settled the reminder to prevent administrative issues, with a payroll deduction, which will be reimbursed if the appeal is successful.

📩 Questions? Need Assistance?
For any questions about the process or if you wish to contest a fine, please contact fleet@dtsc.be.",Who is responsible in case of a traffic fine?
4008.1,"4008.1	""output.id: 73695d86-4a97-45c2-916a-3c7db998b439 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Fine-management.aspx, who created it: ""displayName"":""Thibault Draye"",""email"":""tdraye@dtsc.be"" and when it was created: ""createdDateTime"":""2024-05-18T13:22:46Z"" and last time it was modified: ""lastModifiedDateTime"":""2024-05-18T13:29:33Z"" | output.content: 🚗 Traffic Fine Management at DTSC

📜 Fleet Policy – Traffic Fines
At DTSC, traffic fines are handled through a clear process to ensure efficient follow-up and prevent any administrative consequences for both the company and the employees involved.

🔹 Procedure in Case of a Fine
1. Fine Notification
   - When a traffic violation is recorded on a DTSC fleet vehicle, the fine is sent to the company.
2. Transfer to the Responsible Driver
   - As per the Fleet Policy, the fine is transferred to the driver, who is responsible for either payment or contesting it.
3. Reminder and Temporary Coverage by DTSC
   - If a reminder is received, DTSC pays the fine to avoid any judicial record issues for the company.
   - The amount advanced is then deducted from the employee's payslip.
4. Reimbursement in Case of a Successful Appeal
   - If the employee successfully contests the fine, the deducted amount is fully reimbursed.

ℹ️ Example of Handling a Fine
Example: A reminder was received for a traffic violation. The fine was transferred to the responsible driver for action. DTSC settled the reminder to prevent administrative issues, with a payroll deduction, which will be reimbursed if the appeal is successful.

📩 Questions? Need Assistance?
For any questions about the process or if you wish to contest a fine, please contact fleet@dtsc.be.""",
4008.2,"4008.2	""output.id: 73695d86-4a97-45c2-916a-3c7db998b439 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Fine-management.aspx, who created it: ""displayName"":""Thibault Draye"",""email"":""tdraye@dtsc.be"" and when it was created: ""createdDateTime"":""2023-06-02T08:34:17Z"" and last time it was modified: ""lastModifiedDateTime"":""2023-06-02T08:42:51Z"" | output.content: 🚗 Traffic Fine Management at DTSC

📜 Fleet Policy – Traffic Fines
At DTSC, traffic fines are handled through a clear process to ensure efficient follow-up and prevent any administrative consequences for both the company and the employees involved.

🔹 Procedure in Case of a Fine
1. Fine Notification
   - When a traffic violation is recorded on a DTSC fleet vehicle, the fine is sent to the company.
2. Transfer to the Responsible Driver
   - As per the Fleet Policy, the fine is transferred to the driver, who is responsible for either payment or contesting it.
3. Reminder and Temporary Coverage by DTSC
   - If a reminder is received, DTSC pays the fine to avoid any judicial record issues for the company.
   - The amount advanced is then deducted from the employee's payslip.
4. Reimbursement in Case of a Successful Appeal
   - If the employee successfully contests the fine, the deducted amount is fully reimbursed.

ℹ️ Example of Handling a Fine
Example: A reminder was received for a traffic violation. The fine was transferred to the responsible driver for action. DTSC settled the reminder to prevent administrative issues, with a payroll deduction, which will be reimbursed if the appeal is successful.

📩 Questions? Need Assistance?
For any questions about the process or if you wish to contest a fine, please contact fleet@dtsc.be.""",
4008.3,"4008.3	""output.id: 73695d86-4a97-45c2-916a-3c7db998b439 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Fine-management.aspx, who created it: ""displayName"":""Thibault Draye"",""email"":""tdraye@dtsc.be"" and when it was created: ""createdDateTime"":""2020-11-23T15:41:08Z"" and last time it was modified: ""lastModifiedDateTime"":""2020-11-23T15:49:22Z"" | output.content: 🚗 Traffic Fine Management at DTSC

📜 Fleet Policy – Traffic Fines
At DTSC, traffic fines are handled through a clear process to ensure efficient follow-up and prevent any administrative consequences for both the company and the employees involved.

🔹 Procedure in Case of a Fine
1. Fine Notification
   - When a traffic violation is recorded on a DTSC fleet vehicle, the fine is sent to the company.
2. Transfer to the Responsible Driver
   - As per the Fleet Policy, the fine is transferred to the driver, who is responsible for either payment or contesting it.
3. Reminder and Temporary Coverage by DTSC
   - If a reminder is received, DTSC pays the fine to avoid any judicial record issues for the company.
   - The amount advanced is then deducted from the employee's payslip.
4. Reimbursement in Case of a Successful Appeal
   - If the employee successfully contests the fine, the deducted amount is fully reimbursed.

ℹ️ Example of Handling a Fine
Example: A reminder was received for a traffic violation. The fine was transferred to the responsible driver for action. DTSC settled the reminder to prevent administrative issues, with a payroll deduction, which will be reimbursed if the appeal is successful.

📩 Questions? Need Assistance?
For any questions about the process or if you wish to contest a fine, please contact fleet@dtsc.be.""",
4009,"output.id: 13d66df8-bb8f-431a-9bcc-a04d51a1e860 | output.metadata: {""webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Fleet-Management.aspx"",""who created it"":{""displayName"":""Denis Budin"",""email"":""denis.budin@dtsc.be""},""when it was created"":""2023-09-21T12:05:15Z"",""last time it was modified"":""2025-02-10T09:15:53Z""} | output.content: In this section of SharePoint, you'll find all the information you need to manage our company's fleet.","COMMENT: No content, maybe ignore"
4010,"output.id: 4b226c96-30ca-4e7f-8eb7-584c97686b21 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Google-Search-Console.aspx, who created it: ""displayName"":""Sylvain Grondal"",""email"":""sylvain.grondal@dtsc.be"" and when it was created: ""createdDateTime"":""2024-12-13T21:50:29Z"" and last time it was modified: ""lastModifiedDateTime"":""2024-12-13T22:13:57Z"" | output.content: Search Console

Sur le site https://search.google.com/search-console?resource_id=sc-domain:dtsc.be&hl=fr nous avons la possibilité de suivre les performance de notre site internet.

L'onglet Performances permet de connaitre le nombre de fois qu'une url de notre site est vue sur google, ainsi que le nombre de fois qu'une personne s'est connectée sur notre site depuis google.

L'onglet Pages permet de savoir si nos pages sont indexées sur google, cad, visible sur google.

Sitemap

https://dtsc.be/wp-sitemap.xml

Les fichiers XML présent sur ce site doivent être fournis à la search console afin de permettre l'indexation des pages.

Il n'est pas obligatoire de le faire après chaque modifications mineures sur le site, c'est plutôt à faire après l'ajout ou modification de pages critiques, après avoir modifier des redirections dans le site (erreurs 404).

Google Ads

/* TODO */

Google KeyWord Planner

https://ads.google.com/aw/keywordplanner/home?ocid=6733423607&euid=1256772474&__u=1992400426&uscid=6733423607&__c=6010777343&authuser=0&sf=kp&subid=be-fr-awhp-g-aw-c-t-kwp-hero!o2

Ce site permet de cibler une région du monde, et une langue, et d'analyser le nombre de requêtes par mois pour une chaine de mots.

Dans l'image ci dessous, j'ai fait la recherche en belgique neerlandophone, et je souhaite savoir si les gens cherchent plus le mot “IA” ou les mots “Intelligences Artificielles”, on peut constater que le mot IA est recherché 10x plus, et doit donc être présent à de nombreuses reprises sur le site.

L'outil permet également d'avoir des suggestions d'autres mots clés en fonction du contexte, voir de connaitre le prix de google pour faire en sorte que nous soyons effectivement remonté via des ads (pages sponsorisées).

Il est indispensable d'analyser les mots clés avant de publier la page internet.

/!\ cela n'affecte que les recherches google, étant donné que les recherches par IA sont en langue naturelle, les chaines de charactères sont beaucoup plus longues /!

Analyse de la concurrence

Il est possible de rajouter des sites, ou une page précise d'un concurrent et d'analyser les mots clés, par exemple si nous recherchons deux de nos concurrents et nos amis de TLSSC :

Pyxis : Axe ses mots sur les formations

Wemanity : Axe ses mots sur la gestion du changement

TLSSC : Axe ses mots sur la green belt

On voit directement que la stratégie de Wemanity est la bonne, les mots clés les plus présents sur leurs sites ont une concurrence FAIBLE, il y a donc énormément de chance qu'ils sortent du lot, la où 4 des 5 mots clés principaux de Pyxis et de TLSSC ont une concurrence forte.",How can I track the website performance?
4010.1,"4010.1	""output.id: 4b226c96-30ca-4e7f-8eb7-584c97686b21 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Google-Search-Console.aspx, who created it: ""displayName"":""Sylvain Grondal"",""email"":""sylvain.grondal@dtsc.be"" and when it was created: ""createdDateTime"":""2023-09-24T10:35:16Z"" and last time it was modified: ""lastModifiedDateTime"":""2023-09-24T11:02:43Z"" | output.content: Search Console

Sur le site https://search.google.com/search-console?resource_id=sc-domain:dtsc.be&hl=fr nous avons la possibilité de suivre les performance de notre site internet.

L'onglet Performances permet de connaitre le nombre de fois qu'une url de notre site est vue sur google, ainsi que le nombre de fois qu'une personne s'est connectée sur notre site depuis google.

L'onglet Pages permet de savoir si nos pages sont indexées sur google, cad, visible sur google.

Sitemap

https://dtsc.be/wp-sitemap.xml

Les fichiers XML présent sur ce site doivent être fournis à la search console afin de permettre l'indexation des pages.

Il n'est pas obligatoire de le faire après chaque modifications mineures sur le site, c'est plutôt à faire après l'ajout ou modification de pages critiques, après avoir modifier des redirections dans le site (erreurs 404).

Google Ads

/* TODO */

Google KeyWord Planner

https://ads.google.com/aw/keywordplanner/home?ocid=6733423607&euid=1256772474&__u=1992400426&uscid=6733423607&__c=6010777343&authuser=0&sf=kp&subid=be-fr-awhp-g-aw-c-t-kwp-hero!o2

Ce site permet de cibler une région du monde, et une langue, et d'analyser le nombre de requêtes par mois pour une chaine de mots.

Dans l'image ci dessous, j'ai fait la recherche en belgique neerlandophone, et je souhaite savoir si les gens cherchent plus le mot ""IA"" ou les mots ""Intelligences Artificielles"", on peut constater que le mot IA est recherché 10x plus, et doit donc être présent à de nombreuses reprises sur le site.

L'outil permet également d'avoir des suggestions d'autres mots clés en fonction du contexte, voir de connaitre le prix de google pour faire en sorte que nous soyons effectivement remonté via des ads (pages sponsorisées).

Il est indispensable d'analyser les mots clés avant de publier la page internet.

/!\ cela n'affecte que les recherches google, étant donné que les recherches par IA sont en langue naturelle, les chaines de charactères sont beaucoup plus longues /!

Analyse de la concurrence

Il est possible de rajouter des sites, ou une page précise d'un concurrent et d'analyser les mots clés, par exemple si nous recherchons deux de nos concurrents et nos amis de TLSSC :

Pyxis : Axe ses mots sur les formations

Wemanity : Axe ses mots sur la gestion du changement

TLSSC : Axe ses mots sur la green belt

On voit directement que la stratégie de Wemanity est la bonne, les mots clés les plus présents sur leurs sites ont une concurrence FAIBLE, il y a donc énormément de chance qu'ils sortent du lot, la où 4 des 5 mots clés principaux de Pyxis et de TLSSC ont une concurrence forte.""",
4010.2,"4010.2	""output.id: 4b226c96-30ca-4e7f-8eb7-584c97686b21 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Google-Search-Console.aspx, who created it: ""displayName"":""Sylvain Grondal"",""email"":""sylvain.grondal@dtsc.be"" and when it was created: ""createdDateTime"":""2022-04-05T08:20:44Z"" and last time it was modified: ""lastModifiedDateTime"":""2022-04-05T08:42:19Z"" | output.content: Search Console

Sur le site https://search.google.com/search-console?resource_id=sc-domain:dtsc.be&hl=fr nous avons la possibilité de suivre les performance de notre site internet.

L'onglet Performances permet de connaitre le nombre de fois qu'une url de notre site est vue sur google, ainsi que le nombre de fois qu'une personne s'est connectée sur notre site depuis google.

L'onglet Pages permet de savoir si nos pages sont indexées sur google, cad, visible sur google.

Sitemap

https://dtsc.be/wp-sitemap.xml

Les fichiers XML présent sur ce site doivent être fournis à la search console afin de permettre l'indexation des pages.

Il n'est pas obligatoire de le faire après chaque modifications mineures sur le site, c'est plutôt à faire après l'ajout ou modification de pages critiques, après avoir modifier des redirections dans le site (erreurs 404).

Google Ads

/* TODO */

Google KeyWord Planner

https://ads.google.com/aw/keywordplanner/home?ocid=6733423607&euid=1256772474&__u=1992400426&uscid=6733423607&__c=6010777343&authuser=0&sf=kp&subid=be-fr-awhp-g-aw-c-t-kwp-hero!o2

Ce site permet de cibler une région du monde, et une langue, et d'analyser le nombre de requêtes par mois pour une chaine de mots.

Dans l'image ci dessous, j'ai fait la recherche en belgique neerlandophone, et je souhaite savoir si les gens cherchent plus le mot ""IA"" ou les mots ""Intelligences Artificielles"", on peut constater que le mot IA est recherché 10x plus, et doit donc être présent à de nombreuses reprises sur le site.

L'outil permet également d'avoir des suggestions d'autres mots clés en fonction du contexte, voir de connaitre le prix de google pour faire en sorte que nous soyons effectivement remonté via des ads (pages sponsorisées).

Il est indispensable d'analyser les mots clés avant de publier la page internet.

/!\ cela n'affecte que les recherches google, étant donné que les recherches par IA sont en langue naturelle, les chaines de charactères sont beaucoup plus longues /!

Analyse de la concurrence

Il est possible de rajouter des sites, ou une page précise d'un concurrent et d'analyser les mots clés, par exemple si nous recherchons deux de nos concurrents et nos amis de TLSSC :

Pyxis : Axe ses mots sur les formations

Wemanity : Axe ses mots sur la gestion du changement

TLSSC : Axe ses mots sur la green belt

On voit directement que la stratégie de Wemanity est la bonne, les mots clés les plus présents sur leurs sites ont une concurrence FAIBLE, il y a donc énormément de chance qu'ils sortent du lot, la où 4 des 5 mots clés principaux de Pyxis et de TLSSC ont une concurrence forte.""",
4010.3,"4010.3	""output.id: 4b226c96-30ca-4e7f-8eb7-584c97686b21 | output.metadata: webUrl"":""https://dtservicesandconsulting.sharepoint.com/sites/DTServicesandConsultingSRL/SitePages/Google-Search-Console.aspx, who created it: ""displayName"":""Sylvain Grondal"",""email"":""sylvain.grondal@dtsc.be"" and when it was created: ""createdDateTime"":""2020-07-18T14:55:32Z"" and last time it was modified: ""lastModifiedDateTime"":""2020-07-18T15:21:05Z"" | output.content: Search Console

Sur le site https://search.google.com/search-console?resource_id=sc-domain:dtsc.be&hl=fr nous avons la possibilité de suivre les performance de notre site internet.

L'onglet Performances permet de connaitre le nombre de fois qu'une url de notre site est vue sur google, ainsi que le nombre de fois qu'une personne s'est connectée sur notre site depuis google.

L'onglet Pages permet de savoir si nos pages sont indexées sur google, cad, visible sur google.

Sitemap

https://dtsc.be/wp-sitemap.xml

Les fichiers XML présent sur ce site doivent être fournis à la search console afin de permettre l'indexation des pages.

Il n'est pas obligatoire de le faire après chaque modifications mineures sur le site, c'est plutôt à faire après l'ajout ou modification de pages critiques, après avoir modifier des redirections dans le site (erreurs 404).

Google Ads

/* TODO */

Google KeyWord Planner

https://ads.google.com/aw/keywordplanner/home?ocid=6733423607&euid=1256772474&__u=1992400426&uscid=6733423607&__c=6010777343&authuser=0&sf=kp&subid=be-fr-awhp-g-aw-c-t-kwp-hero!o2

Ce site permet de cibler une région du monde, et une langue, et d'analyser le nombre de requêtes par mois pour une chaine de mots.

Dans l'image ci dessous, j'ai fait la recherche en belgique neerlandophone, et je souhaite savoir si les gens cherchent plus le mot ""IA"" ou les mots ""Intelligences Artificielles"", on peut constater que le mot IA est recherché 10x plus, et doit donc être présent à de nombreuses reprises sur le site.

L'outil permet également d'avoir des suggestions d'autres mots clés en fonction du contexte, voir de connaitre le prix de google pour faire en sorte que nous soyons effectivement remonté via des ads (pages sponsorisées).

Il est indispensable d'analyser les mots clés avant de publier la page internet.

/!\ cela n'affecte que les recherches google, étant donné que les recherches par IA sont en langue naturelle, les chaines de charactères sont beaucoup plus longues /!

Analyse de la concurrence

Il est possible de rajouter des sites, ou une page précise d'un concurrent et d'analyser les mots clés, par exemple si nous recherchons deux de nos concurrents et nos amis de TLSSC :

Pyxis : Axe ses mots sur les formations

Wemanity : Axe ses mots sur la gestion du changement

TLSSC : Axe ses mots sur la green belt

On voit directement que la stratégie de Wemanity est la bonne, les mots clés les plus présents sur leurs sites ont une concurrence FAIBLE, il y a donc énormément de chance qu'ils sortent du lot, la où 4 des 5 mots clés principaux de Pyxis et de TLSSC ont une concurrence forte.""",
